家賃(万円),初期投資(取得費を家賃連動),12ヶ月目稼働率(ランプは目標と同じ形で比例),平均単価,清掃(円/回),12ヶ月累積営業損益,回収月,12ヶ月以内に回収
8,1164286,35%,2900,1500,988402,14,
8,1164286,35%,2900,2000,798745,15,
8,1164286,35%,3000,1500,1093828,13,
8,1164286,35%,3000,2000,904172,14,
8,1164286,35%,3100,1500,1199255,12,OK
8,1164286,35%,3100,2000,1009598,13,
8,1164286,40%,2200,1500,500475,18,
8,1164286,40%,2200,2000,283725,23,
8,1164286,40%,2300,1500,620962,17,
8,1164286,40%,2300,2000,404213,20,
8,1164286,40%,2400,1500,741450,15,
8,1164286,40%,2400,2000,524700,18,
8,1164286,40%,2500,1500,861938,14,
8,1164286,40%,2500,2000,645188,16,
8,1164286,40%,2600,1500,982425,14,
8,1164286,40%,2600,2000,765675,15,
8,1164286,40%,2700,1500,1102912,13,
8,1164286,40%,2700,2000,886162,14,
8,1164286,40%,2800,1500,1223400,12,OK
8,1164286,40%,2800,2000,1006650,13,
8,1164286,40%,2900,1500,1343888,12,OK
8,1164286,40%,2900,2000,1127138,13,
8,1164286,40%,3000,1500,1464375,11,OK
8,1164286,40%,3000,2000,1247625,12,OK
8,1164286,40%,3100,1500,1584862,11,OK
8,1164286,40%,3100,2000,1368112,12,OK
8,1164286,45%,2200,1500,750534,15,
8,1164286,45%,2200,2000,506691,18,
8,1164286,45%,2300,1500,886083,14,
8,1164286,45%,2300,2000,642239,17,
8,1164286,45%,2400,1500,1021631,13,
8,1164286,45%,2400,2000,777788,15,
8,1164286,45%,2500,1500,1157180,13,
8,1164286,45%,2500,2000,913336,14,
8,1164286,45%,2600,1500,1292728,12,OK
8,1164286,45%,2600,2000,1048884,13,
8,1164286,45%,2700,1500,1428277,11,OK
8,1164286,45%,2700,2000,1184433,12,OK
8,1164286,45%,2800,1500,1563825,11,OK
8,1164286,45%,2800,2000,1319981,12,OK
8,1164286,45%,2900,1500,1699373,10,OK
8,1164286,45%,2900,2000,1455530,11,OK
8,1164286,45%,3000,1500,1834922,10,OK
8,1164286,45%,3000,2000,1591078,11,OK
8,1164286,45%,3100,1500,1970470,10,OK
8,1164286,45%,3100,2000,1726627,10,OK
8,1164286,50%,2200,1500,1000594,13,
8,1164286,50%,2200,2000,729656,16,
8,1164286,50%,2300,1500,1151203,13,
8,1164286,50%,2300,2000,880266,14,
8,1164286,50%,2400,1500,1301812,12,OK
8,1164286,50%,2400,2000,1030875,13,
8,1164286,50%,2500,1500,1452422,11,OK
8,1164286,50%,2500,2000,1181484,12,OK
8,1164286,50%,2600,1500,1603031,11,OK
8,1164286,50%,2600,2000,1332094,12,OK
8,1164286,50%,2700,1500,1753641,10,OK
8,1164286,50%,2700,2000,1482703,11,OK
8,1164286,50%,2800,1500,1904250,10,OK
8,1164286,50%,2800,2000,1633312,11,OK
8,1164286,50%,2900,1500,2054859,9,OK
8,1164286,50%,2900,2000,1783922,10,OK
8,1164286,50%,3000,1500,2205469,9,OK
8,1164286,50%,3000,2000,1934531,10,OK
8,1164286,50%,3100,1500,2356078,9,OK
8,1164286,50%,3100,2000,2085141,9,OK
9,1228571,30%,2200,1500,-119644,44,
9,1228571,30%,2200,2000,-282206,75,
9,1228571,30%,2300,1500,-29278,36,
9,1228571,30%,2300,2000,-191841,53,
9,1228571,30%,2400,1500,61087,31,
9,1228571,30%,2400,2000,-101475,42,
9,1228571,30%,2500,1500,151453,27,
9,1228571,30%,2500,2000,-11109,35,
9,1228571,30%,2600,1500,241819,24,
9,1228571,30%,2600,2000,79256,30,
9,1228571,30%,2700,1500,332184,22,
9,1228571,30%,2700,2000,169622,26,
9,1228571,30%,2800,1500,422550,20,
9,1228571,30%,2800,2000,259987,23,
9,1228571,30%,2900,1500,512916,19,
9,1228571,30%,2900,2000,350353,21,
9,1228571,30%,3000,1500,603281,17,
9,1228571,30%,3000,2000,440719,20,
9,1228571,30%,3100,1500,693647,16,
9,1228571,30%,3100,2000,531084,18,
9,1228571,35%,2200,1500,130416,28,
9,1228571,35%,2200,2000,-59241,38,
9,1228571,35%,2300,1500,235842,24,
9,1228571,35%,2300,2000,46186,31,
9,1228571,35%,2400,1500,341269,22,
9,1228571,35%,2400,2000,151612,27,
9,1228571,35%,2500,1500,446695,20,
9,1228571,35%,2500,2000,257039,24,
9,1228571,35%,2600,1500,552122,18,
9,1228571,35%,2600,2000,362466,21,
9,1228571,35%,2700,1500,657548,17,
9,1228571,35%,2700,2000,467892,19,
9,1228571,35%,2800,1500,762975,16,
9,1228571,35%,2800,2000,573319,18,
9,1228571,35%,2900,1500,868402,15,
9,1228571,35%,2900,2000,678745,16,
9,1228571,35%,3000,1500,973828,14,
9,1228571,35%,3000,2000,784172,15,
9,1228571,35%,3100,1500,1079255,13,
9,1228571,35%,3100,2000,889598,15,
9,1228571,40%,2200,1500,380475,21,
9,1228571,40%,2200,2000,163725,26,
9,1228571,40%,2300,1500,500963,19,
9,1228571,40%,2300,2000,284213,23,
9,1228571,40%,2400,1500,621450,17,
9,1228571,40%,2400,2000,404700,20,
9,1228571,40%,2500,1500,741938,16,
9,1228571,40%,2500,2000,525188,18,
9,1228571,40%,2600,1500,862425,15,
9,1228571,40%,2600,2000,645675,17,
9,1228571,40%,2700,1500,982912,14,
9,1228571,40%,2700,2000,766162,16,
9,1228571,40%,2800,1500,1103400,13,
9,1228571,40%,2800,2000,886650,15,
9,1228571,40%,2900,1500,1223888,13,
9,1228571,40%,2900,2000,1007138,14,
9,1228571,40%,3000,1500,1344375,12,OK
9,1228571,40%,3000,2000,1127625,13,
9,1228571,40%,3100,1500,1464862,11,OK
9,1228571,40%,3100,2000,1248112,12,OK
9,1228571,45%,2200,1500,630534,17,
